epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,34.2929,1.41147,3.8252,0.00214,0.51912,0.59926,0.57283,0.35784,1.2949,2.23264,0.00308,0.00995833,0.00331944,0.00995833,0.00331944,0.0767639,0.070125,0.00995833,0.00331944
2,55.1875,1.2932,2.05908,0.00194,0.62256,0.71408,0.72154,0.47351,1.23465,1.58386,0.00274,0.0197607,0.00658692,0.0197607,0.00658692,0.053233,0.0400591,0.0197607,0.00658692
3,75.6558,1.34919,1.67596,0.002,0.67547,0.74668,0.78612,0.5689,1.02327,1.2986,0.00249,0.0293652,0.00978839,0.0293652,0.00978839,0.029504,0.00992728,0.0293652,0.00978839
4,95.6536,1.28532,1.61366,0.00187,0.73095,0.71653,0.8136,0.58894,1.03793,1.33422,0.00225,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,115.822,1.27289,1.43057,0.00187,0.79946,0.75403,0.84514,0.65034,0.8495,0.99628,0.00185,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,136.107,1.23578,1.20294,0.00188,0.77628,0.78565,0.85703,0.64912,0.8836,0.93291,0.00201,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,156.449,1.19066,1.07603,0.00185,0.77981,0.7983,0.8723,0.60576,1.15705,0.89479,0.00257,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,176.721,1.17871,0.99851,0.00176,0.76666,0.8219,0.88564,0.64303,1.04769,0.78955,0.00227,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,196.665,1.15043,0.90095,0.00169,0.81135,0.82467,0.88828,0.64085,1.04723,0.73367,0.00209,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,216.919,1.12629,0.82018,0.00166,0.84134,0.81543,0.89809,0.68575,0.92891,0.65565,0.00195,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,237.138,1.15264,0.77612,0.00175,0.83012,0.83663,0.90015,0.64669,1.09934,0.67339,0.00238,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,257.107,1.14802,0.74948,0.0017,0.81145,0.86369,0.90866,0.618,1.21145,0.65858,0.00304,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,276.946,1.13945,0.72408,0.00167,0.83529,0.84336,0.91173,0.7204,0.80273,0.57497,0.00163,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,297.116,1.09642,0.6901,0.00161,0.83933,0.85294,0.91786,0.72413,0.81119,0.55074,0.00165,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,317.314,1.11559,0.65812,0.00162,0.84219,0.85167,0.91317,0.62595,1.13436,0.58965,0.0025,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,336.928,1.07671,0.62976,0.00158,0.84234,0.85009,0.91889,0.62168,1.20336,0.60894,0.00272,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,356.831,1.08328,0.63733,0.00158,0.84593,0.85744,0.91796,0.73176,0.77638,0.51415,0.00158,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,376.847,1.07293,0.61394,0.00152,0.84034,0.85317,0.92072,0.70112,0.92657,0.52806,0.00186,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,396.433,1.06734,0.58592,0.00149,0.86039,0.84182,0.92091,0.66564,1.08619,0.56301,0.00253,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,416.219,1.05942,0.58752,0.00152,0.88562,0.83648,0.92747,0.70212,0.95119,0.51218,0.00207,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,436.148,1.05597,0.59051,0.00149,0.84762,0.87223,0.92597,0.71935,0.87638,0.50377,0.00191,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,456.014,1.04068,0.57597,0.00149,0.85519,0.86675,0.92824,0.68636,0.99809,0.52494,0.00215,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,475.728,1.03619,0.56625,0.00145,0.87689,0.85545,0.93297,0.71277,0.91378,0.50065,0.00186,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,496.526,1.02917,0.54447,0.00149,0.87024,0.86546,0.93229,0.69413,0.97851,0.49762,0.00211,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,519.764,1.03493,0.53462,0.00146,0.86209,0.87853,0.93666,0.70274,0.93781,0.48654,0.00201,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,541.479,1.02422,0.53585,0.00148,0.87052,0.87323,0.93345,0.73906,0.81095,0.45812,0.00167,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,562.379,1.03159,0.5357,0.00145,0.87718,0.88194,0.93645,0.67388,1.07085,0.50212,0.00231,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,582.932,0.99297,0.51852,0.00145,0.87811,0.88218,0.94093,0.67659,1.05488,0.49184,0.00242,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,603.195,0.99546,0.52322,0.00142,0.8609,0.87743,0.94335,0.74241,0.83668,0.46242,0.00165,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,623.859,0.97594,0.49352,0.00141,0.85376,0.90229,0.9429,0.69397,0.99945,0.48164,0.00197,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,644.223,0.97681,0.4936,0.00135,0.87892,0.87633,0.94418,0.75963,0.74779,0.42713,0.00152,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,664.761,0.99172,0.49046,0.00137,0.88001,0.87956,0.94357,0.74879,0.79497,0.43752,0.00174,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,684.942,0.98478,0.49414,0.00132,0.88032,0.88844,0.94089,0.71188,0.9411,0.47549,0.002,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,705.108,0.96307,0.47867,0.00139,0.86311,0.89482,0.9404,0.67229,1.10158,0.50225,0.00251,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,725.366,0.98462,0.49443,0.00136,0.88005,0.87554,0.93975,0.71326,0.92509,0.45912,0.00188,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,747.306,0.96549,0.47814,0.00138,0.88733,0.88981,0.94481,0.73534,0.85136,0.44047,0.00171,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,767.764,0.98576,0.47597,0.00132,0.88073,0.89469,0.94518,0.70669,0.96295,0.47792,0.00196,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,788.03,0.96256,0.46687,0.00135,0.90458,0.87707,0.94743,0.67837,1.06535,0.4809,0.00238,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,808.21,0.955,0.47463,0.00138,0.87703,0.8945,0.94534,0.77013,0.72594,0.42446,0.00147,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,828.706,0.95022,0.47132,0.00136,0.8797,0.90453,0.95011,0.74315,0.85884,0.43653,0.00172,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,849.043,0.94002,0.46366,0.00129,0.88299,0.8997,0.94947,0.70136,0.99276,0.46732,0.00219,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,869.966,0.93396,0.45865,0.00133,0.90825,0.87856,0.94744,0.71808,0.94745,0.45672,0.0022,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,891.098,0.93417,0.45946,0.00131,0.89535,0.89184,0.9492,0.7721,0.7146,0.40444,0.00142,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,912.351,0.93904,0.45452,0.00127,0.89728,0.88884,0.94757,0.77078,0.7029,0.39664,0.00139,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,932.722,0.90471,0.46279,0.00128,0.90053,0.88188,0.94706,0.71555,0.92754,0.46391,0.00198,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
